date,USDT_BTC,USDT_ETH,USDT_BCH,USDT_XRP,USDT_ETC,USDT_XMR,USDT_LTC,USDT_STR,USDT_DASH
2015-03-10 20:00:00,291.0,,,0.011,,0.5399,0.960001,,3.5
2015-03-11 00:00:00,292.95011128,,,0.011,,0.261,0.960001,,3.5
2015-03-11 04:00:00,279.00010602,,,0.011,,0.8399000000000001,0.960001,,3.5
2015-03-11 08:00:00,279.00011726,,,0.011,,0.2611,0.960001,,3.5
2015-03-11 12:00:00,289.00010602,,,0.011,,0.2611,0.960001,,3.5
2015-03-11 16:00:00,288.00010602,,,0.0111,,0.2611,0.960001,,3.5
2015-03-11 20:00:00,276.00000001,,,0.0111,,0.2611,0.960001,0.00432888,3.5
2015-03-12 00:00:00,276.0,,,0.0111,,0.2611,0.960001,0.00432888,3.5
2015-03-12 04:00:00,276.0,,,0.0111,,0.2611,0.960001,0.00432888,3.5
2015-03-12 08:00:00,276.00000112,,,0.0111,,0.2611,0.960001,0.00432888,3.5
2015-03-12 12:00:00,276.00000112,,,0.0111,,0.2611,0.960001,0.00432888,3.5
2015-03-12 16:00:00,276.00000112,,,0.0111,,0.2611,0.960001,0.00432888,3.5
2015-03-12 20:00:00,276.00000112,,,0.0111,,0.2611,0.960001,0.00432888,3.5
2015-03-13 00:00:00,300.99999959,,,0.0111,,0.2611,0.960001,0.00432888,3.5
2015-03-13 04:00:00,300.9999995,,,0.01099999,,0.81,2.64999,0.00432888,3.99999999
2015-03-13 08:00:00,300.9999995,,,0.01099999,,0.81,2.64999,0.00432888,3.99999999
2015-03-13 12:00:00,300.9999995,,,0.01099999,,0.8,2.64999,0.00432888,3.99999999
2015-03-13 16:00:00,300.9999995,,,0.01099999,,0.6000000000000001,2.64999,0.00432888,3.99999999
2015-03-13 20:00:00,275.11000009,,,0.01099999,,0.8,2.64999,0.00432888,3.99999999
2015-03-14 00:00:00,275.11000009,,,0.01099999,,0.8,2.64999,0.00432888,3.99999999
2015-03-14 04:00:00,275.11000009,,,0.01099999,,0.8,2.64999,0.00432888,3.99999999
2015-03-14 08:00:00,275.1,,,0.010999799999999999,,0.6000000000000001,1.01200001,0.00432888,3.99999999
2015-03-14 12:00:00,275.1,,,0.010999799999999999,,0.6000000000000001,1.01200001,0.00432888,3.99999999
2015-03-14 16:00:00,275.1,,,0.010999799999999999,,0.60000001,1.01200001,0.00432888,3.99999999
2015-03-14 20:00:00,275.10000036,,,0.010999799999999999,,0.79984729,1.01200022,0.00432888,3.99999999
2015-03-15 00:00:00,275.10800036,,,0.010999799999999999,,0.6000000000000001,2.6499999,0.00432888,3.99999999
2015-03-15 04:00:00,275.10800036,,,0.010999799999999999,,0.6000000000000001,2.6499999,0.00432888,3.99999999
2015-03-15 08:00:00,275.1,,,0.010999799999999999,,0.6000000000000001,2.6499999,0.00432888,3.99999999
2015-03-15 12:00:00,275.1,,,0.010999799999999999,,0.6000000000000001,1.87000001,0.00432888,3.99999999
2015-03-15 16:00:00,282.10800036,,,0.010999799999999999,,0.6000000000000001,1.87000001,0.00432888,3.99999999
